epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.88146,1.94662,3.09742,1.88988,0.01249,0.88562,0.30354,0.25132,0.93833,3.10754,1.24155,8.574e-05,8.574e-05,8.574e-05
2,16.3636,1.54848,3.10689,1.65256,0.01449,1,0.39275,0.23366,1.02615,3.20414,1.27116,0.000182092,0.000182092,0.000182092
3,22.7774,1.2947,2.73064,1.3654,0.01445,1,0.47278,0.26278,1.08343,3.20334,1.29986,0.000274482,0.000274482,0.000274482
4,29.2868,1.32131,2.58356,1.34253,0.01407,1,0.55828,0.39945,1.02909,2.93625,1.19868,0.000362912,0.000362912,0.000362912
5,35.675,1.30895,2.2586,1.38359,0.01403,1,0.73867,0.54411,1.06647,2.82864,1.20138,0.00044738,0.00044738,0.00044738
6,41.9436,1.22128,2.01693,1.26941,0.01401,1,0.83492,0.5709,1.1892,2.78975,1.25104,0.000527887,0.000527887,0.000527887
7,48.2506,1.1939,1.82473,1.33979,0.01412,1,0.93598,0.62463,1.18835,2.76886,1.25268,0.000604433,0.000604433,0.000604433
8,54.6756,1.28843,1.72437,1.37258,0.94946,0.39381,0.96511,0.73493,1.03677,2.50565,1.20266,0.000677017,0.000677017,0.000677017
9,61.1603,1.16808,1.45366,1.30024,0.94704,0.61717,0.98043,0.72135,1.05623,2.22048,1.25764,0.000745641,0.000745641,0.000745641
10,67.2832,1.12218,1.3856,1.32337,0.93762,0.85778,0.98465,0.70207,1.09963,1.89169,1.32574,0.000810303,0.000810303,0.000810303
11,73.4749,1.24036,1.32312,1.36643,0.92279,0.98906,0.95548,0.61087,1.34395,1.41519,1.53144,0.000871004,0.000871004,0.000871004
12,79.7077,1.27172,1.39013,1.37134,0.92837,0.99219,0.95548,0.64366,1.22619,1.22361,1.42394,0.000927744,0.000927744,0.000927744
13,85.6678,1.24298,1.25951,1.43734,0.93283,1,0.96357,0.7312,1.052,1.08597,1.32303,0.000980523,0.000980523,0.000980523
14,91.8182,1.2138,1.20785,1.3392,0.93283,1,0.96357,0.7312,1.052,1.08597,1.32303,0.00102934,0.00102934,0.00102934
15,97.752,1.26075,1.20921,1.45276,0.88007,0.98527,0.97489,0.70908,1.13516,1.23798,1.30091,0.00103288,0.00103288,0.00103288
16,103.831,1.18045,1.17293,1.27917,0.86098,0.91282,0.98679,0.68598,1.21876,1.33827,1.29754,0.00100459,0.00100459,0.00100459
17,109.875,1.04974,1.16341,1.24421,0.84044,0.95423,0.98794,0.70491,1.14233,1.22978,1.30029,0.000976293,0.000976293,0.000976293
18,116.182,1.12762,1.0887,1.27502,0.92161,1,0.9909,0.70534,1.11421,1.0654,1.29939,0.000947999,0.000947999,0.000947999
19,122.313,1.15351,1.12225,1.29226,0.93485,1,0.98465,0.60824,1.36875,1.10115,1.40142,0.000919704,0.000919704,0.000919704
20,128.309,1.18521,1.15544,1.28433,0.94037,1,0.96738,0.62417,1.26143,1.09238,1.34921,0.00089141,0.00089141,0.00089141
21,134.386,1.13909,1.13969,1.22403,0.91018,1,0.96643,0.7072,1.04799,1.03399,1.23535,0.000863116,0.000863116,0.000863116
22,140.491,1.12264,1.1625,1.24844,0.91018,1,0.96643,0.7072,1.04799,1.03399,1.23535,0.000834822,0.000834822,0.000834822
23,146.446,1.20989,1.07184,1.34562,0.92664,1,0.96077,0.70988,1.08403,1.0085,1.23204,0.000806528,0.000806528,0.000806528
24,152.956,1.19215,1.11755,1.33291,0.94307,0.99671,0.96943,0.64125,1.32959,1.02934,1.33707,0.000778233,0.000778233,0.000778233
25,159.537,1.14452,1.2872,1.34073,0.94409,0.99955,0.97577,0.62087,1.43631,0.96056,1.36718,0.000749939,0.000749939,0.000749939
26,165.815,1.08918,1.12488,1.22007,0.93993,0.99783,0.97223,0.66763,1.2685,0.89725,1.2845,0.000721645,0.000721645,0.000721645
27,172.106,1.09914,1.05292,1.25204,0.9323,0.98611,0.97066,0.7233,1.07603,0.89871,1.20319,0.000693351,0.000693351,0.000693351
28,178.379,1.1353,1.00759,1.29426,0.89592,0.97222,0.96684,0.70453,1.11888,0.91581,1.22503,0.000665057,0.000665057,0.000665057
