epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.32363,1.75046,3.23944,2.02373,0.68138,0.69444,0.76528,0.5667,0.60616,1.7767,1.17169,0.00011432,0.00011432,0.00011432
2,5.14247,1.13427,1.67861,1.43626,0.70251,0.90113,0.88437,0.56007,0.95566,1.72094,1.16457,0.00023812,0.00023812,0.00023812
3,7.46199,1.05602,1.2473,1.2679,0.85608,0.96195,0.95403,0.63744,0.95137,1.55747,1.18145,0.000356827,0.000356827,0.000356827
4,9.77134,0.99058,0.98376,1.1517,0.78967,0.89556,0.95759,0.55345,1.29343,1.66612,1.41285,0.000470441,0.000470441,0.000470441
5,11.3323,0.99268,1.09672,1.1423,0.6896,0.96537,0.95013,0.70113,0.84773,1.582,1.11524,0.000578962,0.000578962,0.000578962
6,12.6882,1.10146,0.9381,1.12972,0.84987,0.91495,0.90983,0.57478,1.32934,1.41542,1.35233,0.00068239,0.00068239,0.00068239
7,14.0881,1.15139,0.93917,1.15344,0.9106,0.98611,0.95668,0.59789,1.34755,1.24897,1.33129,0.000780726,0.000780726,0.000780726
8,15.5163,1.09816,0.87095,1.14461,0.8376,0.74886,0.84392,0.58201,0.98528,1.19746,1.13771,0.000873968,0.000873968,0.000873968
9,16.6691,1.00932,0.80684,1.101,0.8211,0.75646,0.80479,0.5536,0.9559,1.07239,1.14483,0.000962117,0.000962117,0.000962117
10,18.0014,0.90174,0.70012,1.08981,0.8901,0.90579,0.9181,0.64434,0.95205,0.89326,1.1699,0.00104517,0.00104517,0.00104517
11,19.1868,1.01194,0.74375,1.10548,0.9004,0.98853,0.95779,0.65388,1.05856,0.63953,1.24475,0.00112314,0.00112314,0.00112314
12,20.3875,1.00159,0.7172,1.08779,0.90813,0.99832,0.97119,0.7165,0.8463,0.53231,1.1125,0.00111776,0.00111776,0.00111776
13,22.61,0.87708,0.66816,1.05625,0.90697,0.97222,0.95822,0.69638,0.86148,0.55858,1.09776,0.00108947,0.00108947,0.00108947
14,23.8214,0.94537,0.62511,1.06159,0.90697,0.97222,0.95822,0.69638,0.86148,0.55858,1.09776,0.00106118,0.00106118,0.00106118
15,25.1749,0.87764,0.57598,1.02576,0.89142,0.94926,0.94138,0.68105,0.99422,0.74412,1.12464,0.00103288,0.00103288,0.00103288
16,26.4124,0.90367,0.59917,1.02726,0.80954,0.91667,0.9081,0.66498,0.87277,0.72623,1.08023,0.00100459,0.00100459,0.00100459
17,27.5979,0.95116,0.57196,1.03579,0.94523,0.99543,0.96357,0.71726,1.06261,0.64385,1.14776,0.000976293,0.000976293,0.000976293
18,28.8234,0.88137,0.54426,1.00468,0.90414,1,0.96357,0.72852,0.90725,0.6189,1.07139,0.000947999,0.000947999,0.000947999
19,30.3082,0.85137,0.48738,0.99819,0.9238,1,0.98256,0.73919,0.88026,0.60515,1.06911,0.000919704,0.000919704,0.000919704
20,32.5932,0.81651,0.52603,0.99121,0.9238,1,0.98256,0.73919,0.88026,0.60515,1.06911,0.00089141,0.00089141,0.00089141
21,33.8266,0.86874,0.51117,1.01537,0.87036,1,0.99012,0.7937,0.77352,0.50214,1.03195,0.000863116,0.000863116,0.000863116
22,35.2151,0.87891,0.52457,1.01738,0.85627,0.96183,0.94098,0.72833,0.95452,0.59551,1.10621,0.000834822,0.000834822,0.000834822
23,36.6871,0.84802,0.58111,1.01627,0.91777,0.98611,0.95067,0.66446,1.32265,0.57039,1.29817,0.000806528,0.000806528,0.000806528
24,37.8941,0.90219,0.50482,1.05425,0.92415,1,0.95548,0.71507,0.89243,0.48791,1.07029,0.000778233,0.000778233,0.000778233
25,38.9428,0.85962,0.47289,1.04612,0.92415,1,0.95548,0.71507,0.89243,0.48791,1.07029,0.000749939,0.000749939,0.000749939
26,40.148,0.89151,0.47341,1.04118,0.92427,1,0.97632,0.76856,0.68198,0.41169,1.00643,0.000721645,0.000721645,0.000721645
27,41.6497,0.82145,0.48592,0.94952,0.9116,0.98735,0.97551,0.7518,0.81201,0.43736,1.04281,0.000693351,0.000693351,0.000693351
28,42.8825,0.799,0.45591,1.00399,0.94602,0.99282,0.94762,0.70987,0.90007,0.43088,1.0781,0.000665057,0.000665057,0.000665057
29,44.2518,0.78714,0.46113,1.01246,0.94464,0.9876,0.94762,0.70523,0.89961,0.42682,1.06638,0.000636762,0.000636762,0.000636762
30,45.4086,0.74789,0.53464,0.95763,0.94448,0.9874,0.95167,0.72937,0.81788,0.37718,1.03455,0.000608468,0.000608468,0.000608468
31,46.6581,0.75081,0.48378,0.97365,0.94448,0.9874,0.95167,0.72937,0.81788,0.37718,1.03455,0.000580174,0.000580174,0.000580174
32,48.2854,0.7148,0.39702,0.94126,0.94684,0.98832,0.96839,0.75756,0.74546,0.3921,1.0162,0.00055188,0.00055188,0.00055188
33,49.4215,0.75989,0.41784,0.93859,0.93813,0.99499,0.97173,0.75345,0.86807,0.40441,1.05513,0.000523586,0.000523586,0.000523586
34,50.632,0.71616,0.47359,0.92902,0.943,0.9856,0.98654,0.74389,1.00558,0.43919,1.10716,0.000495291,0.000495291,0.000495291
35,51.9804,0.77507,0.43895,0.95398,0.94235,0.97341,0.98859,0.76102,0.98978,0.4113,1.09604,0.000466997,0.000466997,0.000466997
36,53.3399,0.74592,0.44981,0.98682,0.94235,0.97341,0.98859,0.76102,0.98978,0.4113,1.09604,0.000438703,0.000438703,0.000438703
37,55.0979,0.7077,0.42363,0.9496,0.96741,0.97159,0.98859,0.77392,0.91107,0.37319,1.06314,0.000410409,0.000410409,0.000410409
38,56.3022,0.75912,0.42628,0.92984,0.96708,0.97624,0.98806,0.78849,0.86896,0.3756,1.04791,0.000382115,0.000382115,0.000382115
39,57.4914,0.68058,0.37931,0.94158,0.95965,0.98611,0.99036,0.77121,0.91899,0.40185,1.07029,0.00035382,0.00035382,0.00035382
40,58.7639,0.72644,0.39341,0.96217,0.95636,0.98842,0.99295,0.76041,0.96225,0.41214,1.09112,0.000325526,0.000325526,0.000325526
41,61.1258,0.70422,0.38486,0.93347,0.95535,0.98842,0.995,0.76903,0.9457,0.37149,1.0817,0.000297232,0.000297232,0.000297232
42,62.459,0.69478,0.37179,0.94347,0.95535,0.98842,0.995,0.76903,0.9457,0.37149,1.0817,0.000268938,0.000268938,0.000268938
43,63.7816,0.68008,0.3669,0.93145,0.9596,0.98762,0.995,0.77261,0.94714,0.3412,1.07623,0.000240644,0.000240644,0.000240644
44,64.9806,0.70494,0.365,0.95523,0.96446,0.98611,0.99447,0.7875,0.9132,0.33292,1.05935,0.000212349,0.000212349,0.000212349
45,66.2337,0.66673,0.34985,0.94826,0.97129,0.98611,0.99397,0.79036,0.90036,0.343,1.05301,0.000184055,0.000184055,0.000184055
46,67.4584,0.65331,0.35386,0.9517,0.97305,0.98659,0.995,0.79383,0.88674,0.33784,1.04528,0.000155761,0.000155761,0.000155761
47,68.9161,0.72142,0.40475,0.9348,0.97305,0.98659,0.995,0.79383,0.88674,0.33784,1.04528,0.000127467,0.000127467,0.000127467
48,70.7552,0.60024,0.35168,0.94884,0.97151,0.98662,0.995,0.79751,0.8814,0.33494,1.04375,9.91726e-05,9.91726e-05,9.91726e-05
49,72.0252,0.64442,0.35374,0.92515,0.9701,0.98644,0.995,0.7967,0.88624,0.34066,1.04509,7.08784e-05,7.08784e-05,7.08784e-05
50,73.3704,0.6118,0.34502,0.92975,0.97027,0.98629,0.995,0.7946,0.8834,0.34265,1.04316,4.25842e-05,4.25842e-05,4.25842e-05
