epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.931273,1.75046,3.23944,2.02373,0.68138,0.69444,0.76528,0.5667,0.60616,1.7767,1.17169,0.00011432,0.00011432,0.00011432
2,2.65722,1.13739,1.66595,1.44011,0.72347,0.93434,0.9192,0.57726,0.94763,1.80495,1.16575,0.000239494,0.000239494,0.000239494
3,4.32489,1.08065,1.25432,1.33383,0.78007,0.90795,0.90295,0.61966,0.86979,1.627,1.17817,0.000361031,0.000361031,0.000361031
4,5.65135,1.00079,0.99974,1.17282,0.8707,0.90102,0.9707,0.56281,1.18587,1.9076,1.3226,0.000478929,0.000478929,0.000478929
5,6.88811,1.03114,1.09929,1.1572,0.89957,0.9836,0.98843,0.76231,0.76017,1.44671,1.05264,0.00059319,0.00059319,0.00059319
6,8.2585,1.04291,0.84724,1.13462,0.80321,0.881,0.94764,0.58938,1.30629,2.21715,1.38791,0.000703813,0.000703813,0.000703813
7,9.63967,1.0895,0.90412,1.14814,0.90185,0.91248,0.95342,0.64149,1.12648,1.58196,1.20563,0.000810798,0.000810798,0.000810798
8,11.1456,1.08844,0.82749,1.17327,0.84293,0.96795,0.95594,0.67583,0.7883,1.38947,1.11854,0.000914146,0.000914146,0.000914146
9,12.3259,1.02286,0.76372,1.12367,0.85214,0.94591,0.94107,0.67735,0.82138,1.47201,1.09415,0.00101386,0.00101386,0.00101386
10,13.6341,0.92213,0.6841,1.09436,0.89262,1,0.95334,0.65326,1.01468,1.01951,1.17788,0.00110993,0.00110993,0.00110993
11,15.0857,0.96529,0.72529,1.08917,0.89635,0.98611,0.96894,0.65341,1.03856,0.80067,1.17639,0.00120236,0.00120236,0.00120236
12,16.5688,1.0203,0.7475,1.10556,0.91994,0.94444,0.97415,0.72792,0.71892,0.72452,1.04505,0.00120669,0.00120669,0.00120669
13,17.6741,0.83225,0.71378,1.03721,0.83361,1,0.94877,0.70553,0.79161,0.61698,1.08411,0.00118648,0.00118648,0.00118648
14,18.7329,0.91577,0.69889,1.07662,0.83361,1,0.94877,0.70553,0.79161,0.61698,1.08411,0.00116627,0.00116627,0.00116627
15,19.8503,0.85301,0.61833,1.03542,0.93079,0.97222,0.9773,0.72772,0.82219,0.55525,1.08626,0.00114606,0.00114606,0.00114606
16,20.9994,0.9561,0.74844,1.0677,0.82447,0.87436,0.93329,0.69081,0.92962,0.90497,1.21776,0.00112585,0.00112585,0.00112585
